image,row,field,gt,pred,gt_norm,pred_norm,edit_distance,cer,wer,exact,error
passport_0004_seedream.png,4,passport_issued_full,ОВМ МВД РОССИИ ПО ИРКУТСКОЙ ОБЛ. В Г. БРАТСК,ПО ОВТ УПТСН ОБЛ БРАЕСК,ОВМ МВД РОССИИ ПО ИРКУТСКОЙ ОБЛ. В Г. БРАТСК,ПО ОВТ УПТСН ОБЛ БРАЕСК,28,0.636364,0.636364,0,
passport_0004_seedream.png,4,series_and_number,47 90 748564,47 90 748564,4790748564,4790748564,0,0.000000,0.000000,1,
passport_0005_seedream.png,5,lastname,ЕЛИСЕЕВА,ЕЛИСЕЕВА,ЕЛИСЕЕВА,ЕЛИСЕЕВА,0,0.000000,0.000000,1,
passport_0005_seedream.png,5,firstname,ИЗОЛЬДА,ИЗОЛЬДА,ИЗОЛЬДА,ИЗОЛЬДА,0,0.000000,0.000000,1,
passport_0005_seedream.png,5,middlename,АРТЁМОВНА,АРТЕМОВНА,АРТЕМОВНА,АРТЕМОВНА,0,0.000000,0.000000,1,
passport_0005_seedream.png,5,sex,ЖЕН.,Ж,F,F,0,0.000000,0.000000,1,
passport_0005_seedream.png,5,birth_date,02.02.2000,02.02.2000,02022000,02022000,0,0.000000,0.000000,1,
passport_0005_seedream.png,5,birth_place,Г. КАЛУГА,Г КАЛУГА,Г. КАЛУГА,Г КАЛУГА,1,0.111111,0.111111,0,
passport_0005_seedream.png,5,date_of_issue,10.03.2019,10.03.2019,10032019,10032019,0,0.000000,0.000000,1,
passport_0005_seedream.png,5,department_code,240-876,240-876,240876,240876,0,0.000000,0.000000,1,
passport_0005_seedream.png,5,passport_issued_full,ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ И ТАЙМЫРУ В ОКТЯБРЬСКОМ Р-НЕ,ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАО И ТАЙМЫРУ В ОКТЯБРЬЫСКОМ Р-НЕ,ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ И ТАЙМЫРУ В ОКТЯБРЬСКОМ Р-НЕ,ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАО И ТАЙМЫРУ В ОКТЯБРЬЫСКОМ Р-НЕ,2,0.030769,0.030769,0,
passport_0005_seedream.png,5,series_and_number,39 22 498591,39 22 498591,3922498591,3922498591,0,0.000000,0.000000,1,
passport_0006_seedream.png,6,lastname,ОКРОПИРИДЗЕ,ОКРОЛИРИДЗЕ,ОКРОПИРИДЗЕ,ОКРОЛИРИДЗЕ,1,0.090909,0.090909,0,
passport_0006_seedream.png,6,firstname,АСЛАН,АСЛАН,АСЛАН,АСЛАН,0,0.000000,0.000000,1,
passport_0006_seedream.png,6,middlename,РУСТАМОВИЧ,РУСТАМОВИЧ,РУСТАМОВИЧ,РУСТАМОВИЧ,0,0.000000,0.000000,1,
passport_0006_seedream.png,6,sex,МУЖ.,М,M,M,0,0.000000,0.000000,1,
passport_0006_seedream.png,6,birth_date,12.06.1965,12.06.1965,12061965,12061965,0,0.000000,0.000000,1,
passport_0006_seedream.png,6,birth_place,Г. ВЛАДИВОСТОК,Г ВЛАДИВОСТОК,Г. ВЛАДИВОСТОК,Г ВЛАДИВОСТОК,1,0.071429,0.071429,0,
passport_0006_seedream.png,6,date_of_issue,26.03.1998,26.03.1998,26031998,26031998,0,0.000000,0.000000,1,
passport_0006_seedream.png,6,department_code,520-624,520-624,520624,520624,0,0.000000,0.000000,1,
passport_0006_seedream.png,6,passport_issued_full,МЕЖРАЙОННЫЙ ОТДЕЛ УФМС ПО НИЖЕГОРОДСКОЙ ОБЛАСТИ В Г. САРОВ,МЕКРАЙОННЫЙ ОТДЕЛ УФМС ПО НИХЕГОРОДСКОЙ ОБЛАСТИ В Г САРОВ,МЕЖРАЙОННЫЙ ОТДЕЛ УФМС ПО НИЖЕГОРОДСКОЙ ОБЛАСТИ В Г. САРОВ,МЕКРАЙОННЫЙ ОТДЕЛ УФМС ПО НИХЕГОРОДСКОЙ ОБЛАСТИ В Г САРОВ,3,0.051724,0.051724,0,
passport_0006_seedream.png,6,series_and_number,91 31 660086,91 31 660086,9131660086,9131660086,0,0.000000,0.000000,1,
passport_0007_seedream.png,7,lastname,КОМАРОВА,КОМАРОВА,КОМАРОВА,КОМАРОВА,0,0.000000,0.000000,1,
passport_0007_seedream.png,7,firstname,РАИСА,РАИСА,РАИСА,РАИСА,0,0.000000,0.000000,1,
passport_0007_seedream.png,7,middlename,РОМАНОВНА,РОМАНОВНА,РОМАНОВНА,РОМАНОВНА,0,0.000000,0.000000,1,
passport_0007_seedream.png,7,sex,ЖЕН.,Ж,F,F,0,0.000000,0.000000,1,
passport_0007_seedream.png,7,birth_date,23.11.1972,23.11.1972,23111972,23111972,0,0.000000,0.000000,1,
passport_0007_seedream.png,7,birth_place,Г. ОМСК,Г ОМСК,Г. ОМСК,Г ОМСК,1,0.142857,0.142857,0,
passport_0007_seedream.png,7,date_of_issue,14.11.2011,14.11.2011,14112011,14112011,0,0.000000,0.000000,1,
passport_0007_seedream.png,7,department_code,640-235,640-235,640235,640235,0,0.000000,0.000000,1,
passport_0007_seedream.png,7,passport_issued_full,ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ПО САРАТОВСКОЙ ОБЛАСТИ В Г. БАЛАКОВО,ОТДЕЛ ПО ВОЛРОСАМ МИГРАШИЙ ПО САРАТОВСКОЙ ОБЛАСТИ В Г БАЛАКОВО,ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ПО САРАТОВСКОЙ ОБЛАСТИ В Г. БАЛАКОВО,ОТДЕЛ ПО ВОЛРОСАМ МИГРАШИЙ ПО САРАТОВСКОЙ ОБЛАСТИ В Г БАЛАКОВО,4,0.063492,0.063492,0,
passport_0007_seedream.png,7,series_and_number,14 50 520651,14 50 520651,1450520651,1450520651,0,0.000000,0.000000,1,
passport_0008_seedream.png,8,lastname,БУЛГАКОВ,БУЛГАКОВ,БУЛГАКОВ,БУЛГАКОВ,0,0.000000,0.000000,1,
passport_0008_seedream.png,8,firstname,РУСТАМ,РУСТАМ,РУСТАМ,РУСТАМ,0,0.000000,0.000000,1,
passport_0008_seedream.png,8,middlename,ТИМУРОВИЧ,ТИМУРОВИЧ,ТИМУРОВИЧ,ТИМУРОВИЧ,0,0.000000,0.000000,1,
passport_0008_seedream.png,8,sex,МУЖ.,М,M,M,0,0.000000,0.000000,1,
passport_0008_seedream.png,8,birth_date,16.11.1968,16.11.1968,16111968,16111968,0,0.000000,0.000000,1,
passport_0008_seedream.png,8,birth_place,Г. ХАБАРОВСК,Г ХАБАРОВСК,Г. ХАБАРОВСК,Г ХАБАРОВСК,1,0.083333,0.083333,0,
passport_0008_seedream.png,8,date_of_issue,12.08.2000,12.08.2000,12082000,12082000,0,0.000000,0.000000,1,
passport_0008_seedream.png,8,department_code,390-272,390-272,390272,390272,0,0.000000,0.000000,1,
passport_0008_seedream.png,8,passport_issued_full,ОВМ МВД РОССИИ ПО КАЛИНИНГРАДСКОЙ ОБЛ. В ЛЕНИНГРАДСКОМ Р-НЕ Г. КАЛИНИНГРАДА,ОВМ МВД РОССИ ПО КАЛИНИНГРАДСКОЙ ОБЛ В ЛЕНИНТРАДСКОМ Р-НЕ Г КАЛИНИНГРАДА АА,ОВМ МВД РОССИИ ПО КАЛИНИНГРАДСКОЙ ОБЛ. В ЛЕНИНГРАДСКОМ Р-НЕ Г. КАЛИНИНГРАДА,ОВМ МВД РОССИ ПО КАЛИНИНГРАДСКОЙ ОБЛ В ЛЕНИНТРАДСКОМ Р-НЕ Г КАЛИНИНГРАДА АА,7,0.093333,0.093333,0,
passport_0008_seedream.png,8,series_and_number,27 41 881177,27 41 881177,2741881177,2741881177,0,0.000000,0.000000,1,
passport_0009_seedream.png,9,lastname,КОРНИЛОВ,КОРНИЛОВ,КОРНИЛОВ,КОРНИЛОВ,0,0.000000,0.000000,1,
passport_0009_seedream.png,9,firstname,САША,САША,САША,САША,0,0.000000,0.000000,1,
passport_0009_seedream.png,9,middlename,ШАМИЛЕВИЧ,ШАМИЛЕВИЧ,ШАМИЛЕВИЧ,ШАМИЛЕВИЧ,0,0.000000,0.000000,1,
passport_0009_seedream.png,9,sex,МУЖ.,М,M,M,0,0.000000,0.000000,1,
passport_0009_seedream.png,9,birth_date,12.07.1992,12.07.1992,12071992,12071992,0,0.000000,0.000000,1,
passport_0009_seedream.png,9,birth_place,Г. КАЗАНЬ,Г КАЗАНЬ,Г. КАЗАНЬ,Г КАЗАНЬ,1,0.111111,0.111111,0,
passport_0009_seedream.png,9,date_of_issue,09.06.2011,09.06.2011,09062011,09062011,0,0.000000,0.000000,1,
passport_0009_seedream.png,9,department_code,221-094,221-094,221094,221094,0,0.000000,0.000000,1,
passport_0009_seedream.png,9,passport_issued_full,МИГРАЦИОННЫЙ ПУНКТ ПО АЛТАЙСКОМУ КРАЮ И АЛТАЮ В Г. БИЙСК,МИГРАЦИОННЫЙ ПУНКТ ПО АЛТАЙСКОМУ КРАЮ И АЛТАО В Г БИЙСК,МИГРАЦИОННЫЙ ПУНКТ ПО АЛТАЙСКОМУ КРАЮ И АЛТАЮ В Г. БИЙСК,МИГРАЦИОННЫЙ ПУНКТ ПО АЛТАЙСКОМУ КРАЮ И АЛТАО В Г БИЙСК,2,0.035714,0.035714,0,
passport_0009_seedream.png,9,series_and_number,16 24 260265,16 24 260265,1624260265,1624260265,0,0.000000,0.000000,1,
passport_0010_seedream.png,10,lastname,ХУСАИНОВА,ХУСАИНОВА,ХУСАИНОВА,ХУСАИНОВА,0,0.000000,0.000000,1,
passport_0010_seedream.png,10,firstname,ЮЛИАНА,ОЛИАНА,ЮЛИАНА,ОЛИАНА,1,0.166667,0.166667,0,
passport_0010_seedream.png,10,middlename,ФЁДОРОВНА,ФЕДОРОВНА,ФЕДОРОВНА,ФЕДОРОВНА,0,0.000000,0.000000,1,
passport_0010_seedream.png,10,sex,ЖЕН.,Ж,F,F,0,0.000000,0.000000,1,
passport_0010_seedream.png,10,birth_date,13.02.1993,13.02.2993,13021993,13022993,1,0.125000,0.125000,0,
passport_0010_seedream.png,10,birth_place,Г. ИРКУТСК,Г ИРКУТСК,Г. ИРКУТСК,Г ИРКУТСК,1,0.100000,0.100000,0,
passport_0010_seedream.png,10,date_of_issue,02.09.2015,02.09.2015,02092015,02092015,0,0.000000,0.000000,1,
passport_0010_seedream.png,10,department_code,761-995,761-995,761995,761995,0,0.000000,0.000000,1,
passport_0010_seedream.png,10,passport_issued_full,МИГРАЦИОННЫЙ ПУНКТ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ В ДЗЕРЖИНСКОМ Р-НЕ Г. ЯРОСЛАВЛЯ,МИГРАЦИОННЫЙ ПУНКТ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ В ДЗЕРЖКИНСКОМ Р-НЕ Г ЯРОСЛАВЛЯ,МИГРАЦИОННЫЙ ПУНКТ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ В ДЗЕРЖИНСКОМ Р-НЕ Г. ЯРОСЛАВЛЯ,МИГРАЦИОННЫЙ ПУНКТ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ В ДЗЕРЖКИНСКОМ Р-НЕ Г ЯРОСЛАВЛЯ,2,0.027397,0.027397,0,
passport_0010_seedream.png,10,series_and_number,80 11 813328,18 01 181332,8011813328,1801181332,2,0.200000,0.200000,0,
passport_0011_seedream.png,11,lastname,МКРТЧЯН,МКРТЧЯН,МКРТЧЯН,МКРТЧЯН,0,0.000000,0.000000,1,
passport_0011_seedream.png,11,firstname,ВИОЛЕТТА,ВИОЛЕТТА,ВИОЛЕТТА,ВИОЛЕТТА,0,0.000000,0.000000,1,
passport_0011_seedream.png,11,middlename,АБДУЛОВНА,АБДУЛОВНА,АБДУЛОВНА,АБДУЛОВНА,0,0.000000,0.000000,1,
passport_0011_seedream.png,11,sex,ЖЕН.,Ж,F,F,0,0.000000,0.000000,1,
passport_0011_seedream.png,11,birth_date,11.11.1972,11.11.1972,11111972,11111972,0,0.000000,0.000000,1,
passport_0011_seedream.png,11,birth_place,Г. УФА,Г УФА,Г. УФА,Г УФА,1,0.166667,0.166667,0,
passport_0011_seedream.png,11,date_of_issue,09.11.1991,09.11.1991,09111991,09111991,0,0.000000,0.000000,1,
passport_0011_seedream.png,11,department_code,260-465,260-465,260465,260465,0,0.000000,0.000000,1,
passport_0011_seedream.png,11,passport_issued_full,МЕЖРАЙОННЫЙ ОТДЕЛ УФМС ПО СТАВРОПОЛЬСКОМУ КРАЮ В Г. ПЯТИГОРСК,МЕЖРАЙОННЫЙ ОТДЕЛ УФМС ПО СТАВРОЛОЛЬСКОМУ КРАЮ В Г ПЯТИГОРСК,МЕЖРАЙОННЫЙ ОТДЕЛ УФМС ПО СТАВРОПОЛЬСКОМУ КРАЮ В Г. ПЯТИГОРСК,МЕЖРАЙОННЫЙ ОТДЕЛ УФМС ПО СТАВРОЛОЛЬСКОМУ КРАЮ В Г ПЯТИГОРСК,2,0.032787,0.032787,0,
passport_0011_seedream.png,11,series_and_number,10 43 624902,10 43 624902,1043624902,1043624902,0,0.000000,0.000000,1,
passport_0012_seedream.png,12,lastname,ЗАГОРОДНИАЯ,ЗАГОРОДНИАЯ,ЗАГОРОДНИАЯ,ЗАГОРОДНИАЯ,0,0.000000,0.000000,1,
passport_0012_seedream.png,12,firstname,ВЕРА,ВЕРА,ВЕРА,ВЕРА,0,0.000000,0.000000,1,
passport_0012_seedream.png,12,middlename,ГРИГОРЬЕВНА,ГРИГОРЬЕВНА,ГРИГОРЬЕВНА,ГРИГОРЬЕВНА,0,0.000000,0.000000,1,
passport_0012_seedream.png,12,sex,ЖЕН.,Ж,F,F,0,0.000000,0.000000,1,
passport_0012_seedream.png,12,birth_date,27.05.1995,27.05.1995,27051995,27051995,0,0.000000,0.000000,1,
passport_0012_seedream.png,12,birth_place,С. ПОДОЛЬСКОЕ ТВЕРСКОЙ ОБЛ.,С ПОДОЛЬСКОЕ ТВЕРСКОЙ ОБЛ.,С. ПОДОЛЬСКОЕ ТВЕРСКОЙ ОБЛ.,С ПОДОЛЬСКОЕ ТВЕРСКОЙ ОБЛ.,1,0.037037,0.037037,0,
passport_0012_seedream.png,12,date_of_issue,21.09.2023,21.09.2023,21092023,21092023,0,0.000000,0.000000,1,
passport_0012_seedream.png,12,department_code,541-383,541-383,541383,541383,0,0.000000,0.000000,1,
passport_0012_seedream.png,12,passport_issued_full,МЕЖРАЙОННЫЙ ОТДЕЛ УФМС ПО НОВОСИБИРСКОЙ ОБЛ. В СОВЕТСКОМ Р-НЕ,МЕКРАЙОННЫЙ ОТДЕЛ УФМС ПО НОВОСИБИРСКОЙ ОБЛ В СОВЕТСКОМ Р-НЕ,МЕЖРАЙОННЫЙ ОТДЕЛ УФМС ПО НОВОСИБИРСКОЙ ОБЛ. В СОВЕТСКОМ Р-НЕ,МЕКРАЙОННЫЙ ОТДЕЛ УФМС ПО НОВОСИБИРСКОЙ ОБЛ В СОВЕТСКОМ Р-НЕ,2,0.032787,0.032787,0,
passport_0012_seedream.png,12,series_and_number,30 79 916449,30 79 916449,3079916449,3079916449,0,0.000000,0.000000,1,
passport_0013_seedream.png,13,lastname,АЛИЕВА,АЛИЕВА,АЛИЕВА,АЛИЕВА,0,0.000000,0.000000,1,
passport_0013_seedream.png,13,firstname,АННА,АННА,АННА,АННА,0,0.000000,0.000000,1,
passport_0013_seedream.png,13,middlename,РАШИДОВНА,РАШИДОВНА,РАШИДОВНА,РАШИДОВНА,0,0.000000,0.000000,1,
passport_0013_seedream.png,13,sex,ЖЕН.,Ж,F,F,0,0.000000,0.000000,1,
passport_0013_seedream.png,13,birth_date,01.08.1975,01.08.1975,01081975,01081975,0,0.000000,0.000000,1,
passport_0013_seedream.png,13,birth_place,Г. ВОРОНЕЖ,Г ВОРОНЕЖ,Г. ВОРОНЕЖ,Г ВОРОНЕЖ,1,0.100000,0.100000,0,
passport_0013_seedream.png,13,date_of_issue,03.08.1994,03.08.1994,03081994,03081994,0,0.000000,0.000000,1,
passport_0013_seedream.png,13,department_code,340-060,340-060,340060,340060,0,0.000000,0.000000,1,
passport_0013_seedream.png,13,passport_issued_full,МЕЖРАЙОННЫЙ ОТДЕЛ УФМС ПО ВОЛГОГРАДСКОЙ ОБЛ. В Г. ВОЛЖСКИЙ,МЕКРАЙОННЫЙ ОТДЕЛ УФМС ПО ВОЛГОГРАДСКОЙ ОБЛ В Г ВОЛЖСКИЙ,МЕЖРАЙОННЫЙ ОТДЕЛ УФМС ПО ВОЛГОГРАДСКОЙ ОБЛ. В Г. ВОЛЖСКИЙ,МЕКРАЙОННЫЙ ОТДЕЛ УФМС ПО ВОЛГОГРАДСКОЙ ОБЛ В Г ВОЛЖСКИЙ,3,0.051724,0.051724,0,
passport_0013_seedream.png,13,series_and_number,40 82 182582,40 82 182582,4082182582,4082182582,0,0.000000,0.000000,1,
passport_0014_seedream.jpeg,14,lastname,ШЕВЧЕНКО,ШЕВЧЕНКО,ШЕВЧЕНКО,ШЕВЧЕНКО,0,0.000000,0.000000,1,
passport_0014_seedream.jpeg,14,firstname,МУРАТ,МУРАТ,МУРАТ,МУРАТ,0,0.000000,0.000000,1,
passport_0014_seedream.jpeg,14,middlename,ВЛАДИМИРОВИЧ,ВЛАДИМИРОВИЧ,ВЛАДИМИРОВИЧ,ВЛАДИМИРОВИЧ,0,0.000000,0.000000,1,
passport_0014_seedream.jpeg,14,sex,МУЖ.,М,M,M,0,0.000000,0.000000,1,
passport_0014_seedream.jpeg,14,birth_date,25.09.2003,25.09.2003,25092003,25092003,0,0.000000,0.000000,1,
passport_0014_seedream.jpeg,14,birth_place,Г. КАЗАНЬ,Г КАЗАНЬ,Г. КАЗАНЬ,Г КАЗАНЬ,1,0.111111,0.111111,0,
passport_0014_seedream.jpeg,14,date_of_issue,18.02.2019,18.02.2019,18022019,18022019,0,0.000000,0.000000,1,
passport_0014_seedream.jpeg,14,department_code,710-272,710-272,710272,710272,0,0.000000,0.000000,1,
passport_0014_seedream.jpeg,14,passport_issued_full,ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ПО ТУЛЬСКОЙ ОБЛ. В СОВЕТСКОМ Р-НЕ,ОТДЕЛ ПО ВОЛРОСАМ МИГРАНИИ ПО ТУЛЬСКОЙ ОБЛ. В СОВЕТСКОМ Р-НЕ,ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ПО ТУЛЬСКОЙ ОБЛ. В СОВЕТСКОМ Р-НЕ,ОТДЕЛ ПО ВОЛРОСАМ МИГРАНИИ ПО ТУЛЬСКОЙ ОБЛ. В СОВЕТСКОМ Р-НЕ,2,0.033333,0.033333,0,
passport_0014_seedream.jpeg,14,series_and_number,77 87 543692,77 87 543692,7787543692,7787543692,0,0.000000,0.000000,1,
passport_0015_seedream.png,15,lastname,ГАСАНОВА,ГАСАНОВА,ГАСАНОВА,ГАСАНОВА,0,0.000000,0.000000,1,
passport_0015_seedream.png,15,firstname,ГЕЛА,ГЕЛА,ГЕЛА,ГЕЛА,0,0.000000,0.000000,1,
passport_0015_seedream.png,15,middlename,АБДУЛОВНА,АБДУЛОВНА,АБДУЛОВНА,АБДУЛОВНА,0,0.000000,0.000000,1,
passport_0015_seedream.png,15,sex,ЖЕН.,Ж,F,F,0,0.000000,0.000000,1,
passport_0015_seedream.png,15,birth_date,07.12.2001,07.12.2001,07122001,07122001,0,0.000000,0.000000,1,
passport_0015_seedream.png,15,birth_place,Г. УФА,Г УФА,Г. УФА,Г УФА,1,0.166667,0.166667,0,
passport_0015_seedream.png,15,date_of_issue,02.12.2023,02.12.2023,02122023,02122023,0,0.000000,0.000000,1,
passport_0015_seedream.png,15,department_code,272-666,272-666,272666,272666,0,0.000000,0.000000,1,
passport_0015_seedream.png,15,passport_issued_full,МЕЖРАЙОННЫЙ ОТДЕЛ УФМС ПО ХАБАРОВСКОМУ КРАЮ В Г. КОМСОМОЛЬСК-НА-АМУРЕ,МЕКРАЙОННЫЙ ОТДЕЛ УОМС ПО ХАБАРОВСКОМУ КРАО В Г КОМСОМОЛЬСКНААМУРЕ,МЕЖРАЙОННЫЙ ОТДЕЛ УФМС ПО ХАБАРОВСКОМУ КРАЮ В Г. КОМСОМОЛЬСК-НА-АМУРЕ,МЕКРАЙОННЫЙ ОТДЕЛ УОМС ПО ХАБАРОВСКОМУ КРАО В Г КОМСОМОЛЬСКНААМУРЕ,6,0.086957,0.086957,0,
passport_0015_seedream.png,15,series_and_number,57 66 642717,57 66 642717,5766642717,5766642717,0,0.000000,0.000000,1,
passport_0016_seedream.png,16,lastname,ЗВЕРЕВ,ЗВЕРЕВ,ЗВЕРЕВ,ЗВЕРЕВ,0,0.000000,0.000000,1,
passport_0016_seedream.png,16,firstname,ПЁТР,ПЕТР,ПЕТР,ПЕТР,0,0.000000,0.000000,1,
passport_0016_seedream.png,16,middlename,ВЛАДИМИРОВИЧ,ВЛАДИМИРОВИЧ,ВЛАДИМИРОВИЧ,ВЛАДИМИРОВИЧ,0,0.000000,0.000000,1,
passport_0016_seedream.png,16,sex,МУЖ.,М,M,M,0,0.000000,0.000000,1,
passport_0016_seedream.png,16,birth_date,19.01.1976,19.01.1976,19011976,19011976,0,0.000000,0.000000,1,
passport_0016_seedream.png,16,birth_place,Г. ОМСК,Г ОМСК,Г. ОМСК,Г ОМСК,1,0.142857,0.142857,0,
passport_0016_seedream.png,16,date_of_issue,20.11.2014,20.11.2014,20112014,20112014,0,0.000000,0.000000,1,
passport_0016_seedream.png,16,department_code,630-073,630-073,630073,630073,0,0.000000,0.000000,1,
passport_0016_seedream.png,16,passport_issued_full,ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ПО САМАРСКОЙ ОБЛ. В Г. ЧАПАЕВСК,ОТДЕЛ ЛПО ВОПРОСАМ НИРАШИ ПО САМАРСКОЙ ОБЛ В Г ЧАПАЕВСК,ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ПО САМАРСКОЙ ОБЛ. В Г. ЧАПАЕВСК,ОТДЕЛ ЛПО ВОПРОСАМ НИРАШИ ПО САМАРСКОЙ ОБЛ В Г ЧАПАЕВСК,7,0.120690,0.120690,0,
passport_0016_seedream.png,16,series_and_number,90 17 340062,19 01 734006,9017340062,1901734006,2,0.200000,0.200000,0,
passport_0017_seedream.png,17,lastname,НОВИКОВ,НОВИКОВ,НОВИКОВ,НОВИКОВ,0,0.000000,0.000000,1,
passport_0017_seedream.png,17,firstname,ЭЛЬДАР,ЭЛЬДАР,ЭЛЬДАР,ЭЛЬДАР,0,0.000000,0.000000,1,
passport_0017_seedream.png,17,middlename,МАГОМЕДОВИЧ,МАГОМЕДОВИЧ,МАГОМЕДОВИЧ,МАГОМЕДОВИЧ,0,0.000000,0.000000,1,
